event_id,ticker,date,title,format,call_time_gmt,timing,n_sentences,mgmt_tone,remarks_tone,answers_tone,analyst_tone,mgmt_pct_negative,tone_change,ret_1d,abn_1d,ret_5d,abn_5d,ret_10d,abn_10d
59,ASML,2016-07-20,Q2 2016 ASML Holding NV Earnings Call,full,13.0,before open,355,0.22003380137749692,0.37476960219552413,0.15080989048522161,0.04335364938015118,0.04363636363636364,0.011222850050375793,0.02395162746226087,0.013316972392092286,0.02972647559573227,0.015096953481919195,0.03550139268343777,0.015375814013620648
60,ASML,2016-10-19,Q3 2016 ASML Holding NV Earnings Call,full,13.0,before open,377,0.19701390962903498,0.3154057352008616,0.15185981801559412,0.08609359619440511,0.050505050505050504,-0.023019891748461946,0.017199143290581365,0.016708984918765157,0.02159678855885616,0.014052687446526324,0.015244648969962915,0.032457181901012544
62,ASML,2017-01-18,Q4 2016 ASML Holding NV Earnings Call,full,14.0,during market,338,0.22624679597902286,0.3504960267600836,0.1516972575103864,0.05098843834612791,0.0703125,0.029232886349987885,0.06090930714769005,0.05785446929477134,0.057285838797405786,0.04605041457114667,0.0473642892422943,0.033631888624346074
61,ASML,2017-04-19,Q1 2017 ASML Holding NV Earnings Call,full,13.0,before open,416,0.20477390489095312,0.3814981683293202,0.12281482619489881,0.11533460062227946,0.0627062706270627,-0.02147289108806974,-0.02877917131528862,-0.03109725645832062,0.02747807220036469,-0.0026135450795430337,0.04347666387957738,0.0014386855735368798
63,ASML,2017-07-19,Q2 2017 ASML Holding NV Earnings Call,full,13.0,before open,408,0.24363302558073802,0.48375501915003466,0.1393695283730171,0.0339673744848021,0.039755351681957186,0.03885912068978489,0.051518171803232704,0.045098249129021495,0.06617802363867353,0.05548184669131051,0.05354263965697048,0.05060616873629553
64,ASML,2017-10-18,Q3 2017 ASML Holding NV Earnings Call,full,13.0,before open,431,0.24059330689252456,0.4518875070295275,0.1707036868472082,0.047004316287005646,0.03757225433526012,-0.0030397186882134553,-0.026142618542168483,-0.026227172850030067,0.011852158784937616,0.015661228001320304,0.025008522213303408,0.00930575915626708
66,ASML,2018-01-17,Q4 2017 ASML Holding NV Earnings Call,full,14.0,during market,408,0.2405539827938709,0.4681761142072411,0.12836108389818132,0.09364252504442007,0.06349206349206349,-3.9324098653648054e-05,0.06867684835603294,0.05835112222309835,0.10221049862566156,0.06945714127886937,0.07431051999818439,0.04956000600045174
65,ASML,2018-04-18,Q1 2018 ASML Holding NV Earnings Call,full,13.0,before open,452,0.24573579496711867,0.41705357824147,0.16007690332994304,0.10710619892925025,0.0392156862745098,0.005181812173247757,-0.029995291617665565,-0.031937324526110755,-0.08768226817051428,-0.05008492761545247,-0.09198088856842523,-0.07132468264134117
67,ASML,2018-07-18,Q2 2018 ASML Holding NV Earnings Call,full,13.0,before open,402,0.2952497590817266,0.44235691582502495,0.2372166605499667,0.1675025085747546,0.023026315789473683,0.049513964114607956,0.06636002241160566,0.06644661255788853,0.04580598827758742,0.047632834562082005,0.04727414356841719,0.07061307095200209
68,ASML,2018-10-17,Q3 2018 ASML Holding NV Earnings Call,full,13.0,before open,477,0.23798588446349647,0.4478433679248537,0.15928932816548755,0.10873936327612575,0.05278592375366569,-0.057263874618230154,0.018104769320702152,0.018469695429376265,-0.048261028453885024,-0.021061962254672384,-0.0714285397163914,-0.008144130582189657
70,ASML,2019-01-23,Q4 2018 ASML Holding NV Earnings Call,full,14.0,during market,408,0.196735795516928,0.27003331738955305,0.1577400695945462,0.017970534550390906,0.10932475884244373,-0.04125008894656848,0.016426189518699452,0.015655551388236377,0.09473351447585587,0.09360391768099707,0.13862048833389196,0.0842471766448698
69,ASML,2019-04-17,Q1 2019 ASML Holding NV Earnings Call,full,13.0,before open,422,0.1883970954888881,0.3037765779964892,0.14697881971692872,0.09787448272646333,0.06289308176100629,-0.00833870002803988,-0.0012768968527112623,-0.0007581740146960225,0.00879087909468046,-0.003931228426533595,0.025469280645696202,0.019293188567903075
71,ASML,2019-07-17,Q2 2019 ASML Holding NV Earnings Call,full,13.0,before open,415,0.1672984215456946,0.2710136895341908,0.13010096256247866,0.044854256204299385,0.06521739130434782,-0.021098673943193508,0.06180481924758796,0.06637623590510455,0.12297557491503874,0.11949736959832813,0.11385367445972672,0.10767444740751242
72,ASML,2019-10-16,Q3 2019 ASML Holding NV Earnings Call,full,13.0,before open,421,0.1945628090591238,0.2866550345883466,0.1618358198214661,0.04176036417684568,0.054878048780487805,0.02726438751342919,-0.048852544618921634,-0.04584227856240475,-0.04578761734321912,-0.04033765578948256,-0.01098911041373618,-0.026714255696030142
74,ASML,2020-01-22,Q4 2019 ASML Holding NV Earnings Call,full,14.0,during market,415,0.26741355581664245,0.3763483260492129,0.22710289194203487,0.1342283025957071,0.06752411575562701,0.07285074675751865,-0.007205066455501785,-0.008588080474001392,-0.02754692367903111,-0.016754912461157345,0.0027815606412544547,-0.007586823890969097
73,ASML,2020-04-15,Q1 2020 ASML Holding NV Earnings Call,full,13.0,before open,394,0.1135021436765602,0.2197701382988061,0.03962599768248551,0.024965669524360013,0.12933753943217666,-0.15391141214008225,-0.022289159591673435,-0.00789692325845781,-0.027134614246386746,0.0025175073615303356,0.01372521685542294,0.002922840024725426
75,ASML,2020-07-15,Q2 2020 ASML Holding NV Earnings Call,full,13.0,before open,376,0.30748989078831873,0.49257290963854256,0.18754782270660947,0.047225830467118896,0.030508474576271188,0.19398774711175854,-0.05392736108927165,-0.059829986186243245,-0.03278477037069283,-0.051069444995265,-0.051583808357708705,-0.04333767462399052
77,CSCO,2016-02-10,Q2 2016 Cisco Systems Inc Earnings Call,full,21.5,after close,394,0.30600559509573333,0.3407192125371894,0.2859261497129303,0.1329695613692618,0.052795031055900624,,0.09640134881764517,0.10031162048463538,0.17414464180810385,0.12653266157015652,0.18169699662908445,0.11198669245085835
78,CSCO,2016-05-18,Q3 2016 Cisco Systems Inc Earnings Call,full,20.5,after close,395,0.3153230437142013,0.46661220237257933,0.24074388099528254,0.08694320563952644,0.07232704402515723,0.00931744861846795,0.03181133196579755,0.03742214818136824,0.0823352801667494,0.049466305303414115,0.08832340644297898,0.03931858270641286
76,CSCO,2016-08-17,Q4 2016 Cisco Systems Inc Earnings Call,full,20.5,after close,343,0.3397924298163295,0.46249626997078574,0.23897207707795462,0.016820556990671576,0.06293706293706294,0.024469386102128232,-0.007812425017183822,-0.01000988013134263,0.01106774053749171,0.013165833485340284,0.023437570368489036,0.02639051443816276
79,CSCO,2016-11-16,Q1 2017 Cisco Systems Inc Earnings Call,full,21.5,after close,308,0.26470285714045166,0.34135030565251195,0.20919953235585628,-0.03883945914627663,0.1,-0.07508957267587785,-0.048147002037324804,-0.055586711404206235,-0.05891672148958338,-0.07517865288576009,-0.06715234320141084,-0.058942019746180185
81,CSCO,2017-02-15,Q2 2017 Cisco Systems Inc Earnings Call,full,21.5,after close,338,0.28953560457599387,0.3756375873226642,0.21749108840020842,0.0982608604381847,0.08888888888888889,0.024832747435542202,0.02376604212345379,0.024546192626943575,0.03717212840426343,0.03441072435801096,0.047836490027049594,0.040657057912690364
82,CSCO,2017-05-17,Q3 2017 Cisco Systems Inc Earnings Call,full,20.5,after close,371,0.23549019772923577,0.3852347967632372,0.14686584319890839,0.051027062191170154,0.10256410256410256,-0.0540454068467581,-0.07214651026389507,-0.07944777377882783,-0.06889389956034642,-0.0941432291648302,-0.05913632895562604,-0.09832788258335945
80,CSCO,2017-08-16,Q4 2017 Cisco Systems Inc Earnings Call,full,20.5,after close,417,0.2663740089154819,0.3973507878104491,0.17185468393973238,0.003313948074916759,0.12275449101796407,0.03088381118624614,-0.0401978012041001,-0.020781319904318418,-0.0439085211765724,-0.033396535026585794,-0.010822540951612614,-0.014478930911901
83,CSCO,2017-11-15,Q1 2018 Cisco Systems Inc Earnings Call,full,21.5,after close,318,0.32007464835731875,0.3428307410059987,0.30266394659926826,0.08423321860080416,0.06463878326996197,0.05370063944183684,0.05189077500905781,0.03890578370899189,0.0686015286827868,0.04457157690120406,0.09352077147948701,0.0685051136078112
85,CSCO,2018-02-14,Q2 2018 Cisco Systems Inc Earnings Call,full,21.5,after close,369,0.3654486331571307,0.48355084403923126,0.2913206497311315,0.1351100778473275,0.0457516339869281,0.04537398479981197,0.04727955877041823,0.031487837324936985,0.020194750763535385,0.010889982885156968,0.04062707116382214,0.03545603163554545
86,CSCO,2018-05-16,Q3 2018 Cisco Systems Inc Earnings Call,full,20.5,after close,378,0.34605836406479656,0.46338021824438425,0.2778765535206383,0.049120000698358604,0.059602649006622516,-0.019390269092334156,-0.037643925071002116,-0.03550429969527713,-0.03277235634721731,-0.03651107425931199,-0.05425161567575454,-0.06017464031046671
84,CSCO,2018-08-15,Q4 2018 Cisco Systems Inc Earnings Call,full,20.5,after close,404,0.3330744191314641,0.4901541548226569,0.23414439328749162,-0.01472901482708179,0.05309734513274336,-0.012983944933332492,0.029639656137113723,0.025471994393741815,0.0485634844166114,0.03377338865406099,0.08253522073937258,0.03937022985298344
87,CSCO,2018-11-14,Q1 2019 Cisco Systems Inc Earnings Call,full,21.5,after close,435,0.35573792931626336,0.5027219871417261,0.27301962837552674,0.09692043642437942,0.019390581717451522,0.022663510184799285,0.05504182552171066,0.03785671573291838,0.012632622219031164,0.03563306555928292,0.06789981844345383,0.04874588509957678
